video_id,answer
62a9513ae9305607fd5af01a_q6_personality,3.068495750427246
5c5198da659655000168955d_q6_personality,3.4155144691467285
6121aaee9d29f0c6e3bc8bea_q6_personality,2.9120700359344482
5dd365bdaf16d337333e212e_q6_personality,2.9055423736572266
63c25e4d8faec4d0ce9b0971_q6_personality,2.8147811889648438
5ffc97615991d411f8ceff96_q6_personality,2.9900896549224854
631636ea6359694a5ae0be31_q6_personality,3.1797211170196533
6361a6a7be16d8144319fd3a_q6_personality,3.2393486499786377
5f400d4a51a8cd1011b37455_q6_personality,3.1109201908111572
5d1e2045a37a4d001a1fc2cb_q6_personality,3.3415422439575195
6384d848165f7e57de28607c_q6_personality,3.6835196018218994
6318ede447b67917e308d47a_q6_personality,3.073270320892334
62b32a0ea4ec7b2c14906e26_q6_personality,3.0680739879608154
6314e875f7c98f1d344b2e3f_q6_personality,2.9242031574249268
62878aaca0be0ca1e7a3e553_q6_personality,3.585474729537964
5dcdb60be64aaa07c14065cc_q6_personality,3.0953056812286377
5e88dd7a0febe805d3a120b6_q6_personality,2.8742847442626953
5bfd81fb2feab400014d9060_q6_personality,3.1960089206695557
5c552224f979a40001c44e4d_q6_personality,3.0164668560028076
620bdccba922fc3f247f6adb_q6_personality,3.6372435092926025
5dec01e809c107301c5e307f_q6_personality,3.1704213619232178
61523f5edff0567aa388e752_q6_personality,3.357189416885376
5bc5356e65cfb8000154bd82_q6_personality,3.328481435775757
60c90880a1658fe3dd81094d_q6_personality,3.4630749225616455
606be72bace337114c3765ba_q6_personality,3.5992612838745117
6234a71d1b478a615e51ab69_q6_personality,3.787814140319824
6335fd309608ba9c606477fc_q6_personality,2.9949543476104736
639f81939ef6d257c948425c_q6_personality,3.8128604888916016
5cc3f0f9fdb33500018c5eeb_q6_personality,3.555898427963257
5dd1013c92b0d219edafe572_q6_personality,3.1656274795532227
627121bbdd4e39bcc0a0079f_q6_personality,3.3989877700805664
5fba83d59b6574a3b7a9cdef_q6_personality,3.2517714500427246
6143af8721d1445864c4f6c8_q6_personality,3.2196178436279297
61213e741b9f968b5a292acb_q6_personality,2.9466843605041504
5e8801fc141e8b4872b73310_q6_personality,2.8140628337860107
62d458437af301fdbda37ebf_q6_personality,3.717360258102417
5f44c445cfb0a801244f652f_q6_personality,3.711747884750366
63bc6e03a6ee3b96041c5e7c_q6_personality,3.0889084339141846
580d5d1f357e890001dd14ce_q6_personality,2.6957449913024902
5f6d0c1efaad4d16c44fdd6d_q6_personality,2.955733299255371
6361498e831b3d9b3319fd7a_q6_personality,3.675471782684326
63616da01c4fd05b28584b14_q6_personality,3.7856292724609375
632ff41f3631baf749984e3e_q6_personality,3.664484739303589
60fd5824d314436829b64e0a_q6_personality,3.2202420234680176
5f58d7941af44708223b94da_q6_personality,2.7191226482391357
60ca933bf8c977b730f77adb_q6_personality,2.6620349884033203
62c2f317234b9ce70f6d3578_q6_personality,3.699244499206543
