id,age,work_experience,Honesty-Humility,Extraversion,Agreeableness,Conscientiousness,Integrity,Collegiality,Social_versatility,Development_orientation,Hireability,gender_1,gender_2,gender_3,gender_4,education_1,education_2,education_3,education_4,education_5,education_6,education_7
60fccc84440f8e8c82ca0288,0.06122448979591838,0.0,3.78125,3.80625,4.00625,3.66875,4.0,3.9,4.0,4.3,4.5,0,1,0,0,0,1,0,0,0,0,0
639881e5774909b88ee9389a,0.693877551020408,0.6666666666666666,3.91875,3.475,3.95,4.1,3.6,2.4,2.5,3.4,2.5,1,0,0,0,0,0,1,0,0,0,0
60e1d5f866e681d7e33fd01c,0.44897959183673464,0.5294117647058824,3.075,2.9125,2.6125,3.5625,3.5,2.5,2.5,2.5,2.0,0,0,1,0,0,0,1,0,0,0,0
62ceba5fdab49dfc90278cbb,0.10204081632653061,0.09803921568627451,3.97,2.725,3.3125,3.38125,3.2,3.1,3.3,2.8,2.9,0,1,0,0,0,0,1,0,0,0,0
6134113b9f3f724a7cf9e390,0.20408163265306123,0.23529411764705882,3.0375,2.825,3.0625,2.93125,3.5,3.5,3.5,3.4,3.4,0,1,0,0,0,0,0,1,0,0,0
61531a9bd8acf4e88e083892,0.5714285714285714,0.45098039215686275,3.3,3.31875,3.0,3.55625,3.5,3.7,3.6,3.6,3.7,1,0,0,0,0,0,1,0,0,0,0
6373aee9c736637f71011482,0.0,0.0784313725490196,2.45,4.3125,2.65625,2.925,3.2,3.7,3.5,3.5,3.5,0,1,0,0,0,1,0,0,0,0,0
60d64ec5cf4d757686ac4f14,0.040816326530612235,0.0196078431372549,3.23125,3.25625,3.525,3.33125,3.5,3.4,3.8,4.0,3.5,1,0,0,0,0,0,1,0,0,0,0
6296ecaf7ea72c4951583ffd,0.40816326530612246,0.29411764705882354,3.025,2.88125,3.3125,3.35625,3.2,3.3,3.7,3.7,3.3,1,0,0,0,0,0,0,0,1,0,0
5e1d0bdfdc1a170a132a6980,0.326530612244898,0.1568627450980392,3.40625,2.89375,3.73125,3.08125,3.0,3.1,3.4,3.2,3.0,0,1,0,0,0,0,0,1,0,0,0
5ba3de31fcf3440001cd4bc1,0.40816326530612246,0.21568627450980393,3.225,2.1625,3.33125,3.99375,3.0,3.2,3.3,3.9,3.1,0,1,0,0,0,0,0,1,0,0,0
59c664453306be000195bb0c,0.7755102040816326,0.5882352941176471,3.04375,3.45,3.19375,3.54375,3.9,2.9,2.9,3.6,3.5,0,1,0,0,0,0,0,0,1,0,0
62c8d159937c939dd4d139e3,0.2448979591836734,0.29411764705882354,2.575,3.75,2.97875,4.2375,3.3,3.4,3.1,3.8,3.4,1,0,0,0,0,1,0,0,0,0,0
605776c7ffd8cb64476fc73f,0.4693877551020408,0.3529411764705882,3.75,2.9375,4.0625,3.18125,2.9,2.8,2.6,2.9,2.4,0,1,0,0,0,0,0,1,0,0,0
638d3556e70c7bf15705e35b,1.0,0.7254901960784313,3.83125,2.54375,2.7375,3.78125,3.4,3.0,3.4,3.2,3.0,1,0,0,0,0,0,0,1,0,0,0
60e9031f16bbe7da0089ea25,0.10204081632653061,0.0784313725490196,4.125,2.65,3.50625,2.60625,3.5,3.8,3.6,3.4,3.6,1,0,0,0,0,0,1,0,0,0,0
6330aa1c7f5f79e3707b7ea6,0.2448979591836734,0.13725490196078433,2.525,2.55625,3.46875,2.70625,2.8,2.8,3.0,2.8,2.6,1,0,0,0,0,0,0,1,0,0,0
6100bb2660955ead768c8fcf,0.4693877551020408,0.27450980392156865,3.0125,3.7,2.94375,2.64375,2.9,3.3,3.3,3.3,3.4,0,1,0,0,0,0,0,0,0,1,0
6380063ad4c58f5102c681c4,0.40816326530612246,0.39215686274509803,3.525,2.71875,3.99375,3.38125,3.3,3.3,3.4,3.7,3.5,1,0,0,0,0,0,0,1,0,0,0
60faefcf667e07570bed9dcb,0.7959183673469388,0.3529411764705882,3.18125,2.8625,3.40625,3.71875,3.5,3.8,3.8,4.4,3.9,1,0,0,0,0,0,1,0,0,0,0
63aa3d6570a0b89cc71bc7d8,0.6734693877551019,0.6862745098039216,3.475,4.4,3.9,3.5125,3.4,3.3,3.3,3.0,3.3,0,1,0,0,0,1,0,0,0,0,0
60b63b1f1d8a6fc4d72d5328,0.7755102040816326,0.7058823529411764,4.1125,2.9875,4.40625,3.59375,3.8,4.8,3.5,3.5,3.7,0,1,0,0,0,1,0,0,0,0,0
6104b2ecc49663d91f01bfae,0.1428571428571429,0.0784313725490196,3.0375,3.13125,2.775,3.2125,2.8,2.8,2.9,3.2,2.9,0,1,0,0,0,0,0,1,0,0,0
5d577affb125380001b5575d,0.18367346938775508,0.1568627450980392,2.89375,2.275,2.65,2.425,3.4,3.3,3.3,3.1,2.9,0,1,0,0,0,0,0,1,0,0,0
